ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,AÑO VIGENCIA,MES VIGENCIA
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,,667,,,,,"2,018",6
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"41,699","7,830",,,,"1,181","2,018",1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,333,,,,,"2,019",11
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,"8,347",444,,,,,"2,020",3
TURBO,PROMOTORA BANANERA S.A,GENERAL,5,,,,,,"2,018",4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,13,181,,,,,"2,019",6
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,"2,924","2,019",2
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"95,187",,,,,"2,018",9
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,"3,494",,,,,"2,018",4
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,,"59,156",,,,,"2,020",3
BUENAVENTURA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"66,696",,,,,"2,018",11
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,99,175,,,,,"2,019",9
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,"91,819",,"2,018",1
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"38,067",,,,,"2,018",12
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,"64,130",,,,,"2,020",11
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"69,719",,,,,,"2,019",1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,"32,129","4,098",,,,,"2,019",4
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,"34,605",,,,,,"2,020",5
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,"142,410",,,,,,"2,018",1
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,"1,861","2,020",5
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,240","2,019",11
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,"1,528","14,044",474,,,,"2,020",4
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,9,104,,,,"2,019",3
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,"3,172",,,,"10,582","2,018",10
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,711,"2,020",7
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"27,632",,,,,"2,018",8
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"20,384",,,,,,"2,020",12
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"55,228",,,,,"2,020",9
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"50,533",,,,,,"2,020",4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"143,579",,,,,"2,018",3
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"518,719","75,919",,,,"76,385","2,019",4
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"18,646","21,370","11,733","19,841",,,"2,019",6
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,"1,362",,,,,"2,019",5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,"3,124",,,,,"2,020",3
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,"25,120",,,,,"2,020",2
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"2,276,105",,,,,,"2,019",10
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,,"3,103",,,,,"2,019",8
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"2,876,980",,,,,,"2,018",6
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"2,024,240",,,,,,"2,018",7
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,299","2,019",5
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"157,133",,"2,018",10
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"39,208","29,833",809,,,42,"2,018",5
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,"36,943","61,032",,,,,"2,020",10
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"153,093",,,,,"2,018",6
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,"6,253",,,,,"2,019",7
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,"6,032",,,,,,"2,018",2
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,"54,624",,,,,,"2,020",1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,"5,283",,,,"2,725","2,019",6
CARTAGENA,SOCIEDAD PORTUARIA TERMINAL DE IFOS S.A.,GRANEL LIQUIDO,"8,788",,,,,,"2,018",5
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,"68,206",,,,,,"2,018",4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"184,432","244,010","490,591",,,,"2,019",3
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"381,876","110,705",,,,"80,964","2,019",8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,"3,188",,,,,"2,019",12
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,"7,535","1,573",204,,,306,"2,020",6
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"180,241",,,,"100,778","2,020",6
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"1,859","2,020",1
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"14,722","31,041","35,682",,,,"2,018",9
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"8,257",,,,,"1,595","2,020",12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,"1,463","5,348",,,,,"2,019",1
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"72,136",,,,,,"2,020",11
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,144,,,,"3,420","2,019",5
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,"2,311",,,,,"2,018",8
CARTAGENA,SOCIEDAD PORTUARIA TERMINAL DE IFOS S.A.,GRANEL LIQUIDO,"15,173",,,,,,"2,018",4
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"63,130",,,,,,"2,018",3
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,578",,,,,"2,018",9
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"89,000",,,,,,"2,020",4
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,,"10,099",,,823,"2,020",7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CONTENEDORES,"43,013","68,086",,237,,349,"2,020",12
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,"17,039",,,,,"2,018",3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,"34,581","288,204",,,,,"2,018",1
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,"6,798",,,,,"2,019",9
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,"6,803",,,,,,"2,020",7
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,"7,294",220,,,,,"2,018",1
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"35,184",,,,,"2,018",10
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,"8,507","50,971",,,,,"2,018",1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,"3,000","72,626",,,,"1,485","2,018",4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,"61,566","13,571",,,,,"2,020",7
GUAJIRA,CERREJON ZONA NORTE S.A.,GENERAL,,"1,354",,,,,"2,018",10
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,"62,771","51,996",,,,,"2,018",6
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,,"71,867",,,,,"2,019",6
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"79,947",,,,,"2,020",11
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,"9,629",,,,,"2,019",10
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"213,419",,,,,"2,018",9
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,"1,077",,,,,"2,019",7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"114,548",,,,,,"2,018",10
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,CARBON AL GRANEL,"16,986",,,,,,"2,020",4
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,"8,061",,,,,"2,019",9
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,"14,479",,,,,"2,019",9
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,"89,934",,,,,"2,019",12
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"28,150",117,,,,,"2,020",1
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,GRANEL LIQUIDO,,"38,723",,,,,"2,020",5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,"73,361",,,,,,"2,020",5
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"98,888",,,,,"2,018",9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,"21,129","13,477",,,,,"2,019",9
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,"1,200",,,,,"2,018",8
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"149,983","187,605","43,831",,,,"2,019",10
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,"7,989",,,,"25,240","2,018",3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,"8,570","47,056",,,,,"2,020",12
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"26,042",,,,,"2,018",5
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"76,834",,,,,"2,020",8
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,769,"2,018",7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"62,740",,,,,,"2,019",7
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,"24,459","20,327",,,,"30,897","2,019",2
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,GRANEL LIQUIDO,,"51,175",,,,,"2,019",4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,"99,444",,,,,,"2,020",6
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"131,252","196,853","234,202",,,,"2,019",7
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,296,216",,,,,,"2,018",4
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"51,210",,,,,"2,018",4
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,"1,202","2,020",1
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,"34,193",,,,,,"2,020",5
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,,,,,"2,267","2,019",8
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"27,691",,,,,"2,020",11
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,CONTENEDORES,100,"2,030",,,,"6,738","2,019",1
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"11,566",,,,,"2,018",7
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"59,560",,"2,020",7
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"147,984","107,986","23,982",,,,"2,020",9
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,"6,947",,,,,,"2,019",7
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"16,700",,,,,,"2,020",8
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"39,864","7,996",,,,,"2,018",12
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"14,353",,,,,"2,018",6
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"392,032","3,697",,,,"95,358","2,019",7
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,,250,47,,,,"2,020",5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,"152,629",,,,,,"2,020",5
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"5,748","2,018",12
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"7,462","2,018",12
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"14,642","10,927","6,428","28,596",,,"2,020",10
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"51,061","11,084",,,,496,"2,018",2
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"14,030","9,378",,,,"12,288","2,019",7
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,907,601",,,,,,"2,020",3
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,GRANEL LIQUIDO,,"18,984",,,,,"2,020",4
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GENERAL,,"5,500",,,,,"2,020",10
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"272,278",,,,"137,096","2,018",7
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,"2,278,443",,,,,,"2,020",9
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"15,773","23,380","4,575","25,128",,,"2,018",12
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,"227,830","29,491",,,,,"2,019",9
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"137,044","183,087","476,656",,,,"2,019",1
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,"45,317","72,219",,,"1,718",,"2,020",2
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,,,,,"4,340","2,019",4
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"61,843",,"2,020",6
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,"227,640",,,,,,"2,018",8
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,"27,001",,,"3,975",,"2,020",10
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,"1,485","2,020",9
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GENERAL,,,,,"1,499",,"2,020",2
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"13,503","12,918",,,,,"2,018",7
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,,,,,"11,688","2,019",12
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"20,404",,,,,"2,019",12
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,GENERAL,"11,709",119,,,,,"2,019",4
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,"50,055","138,556",,,,"7,463","2,020",6
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"67,874",,,,,"2,020",4
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,29,,160,,,"2,110","2,018",4
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,"6,615",,,,,"3,912","2,019",8
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,108,"1,013",,,442,"2,020",3
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,"1,447",,,,,"2,018",9
TURBO,PROMOTORA BANANERA S.A,GENERAL,101,,,,,,"2,019",12
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,,502,,,,,"2,018",8
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,0,,"2,020",8
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"12,412","10,405","5,917","18,048",,,"2,020",9
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,28,9,338,,,171,"2,019",7
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,,,,,"17,159","2,018",3
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,160,368,96,,,,"2,018",12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CONTENEDORES,"88,206","584,839","2,049",,,,"2,019",7
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,,,,,"9,542","2,019",10
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,"4,322","20,177",557,,,564,"2,020",3
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,"8,290",,,,,"2,019",3
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,"1,498","4,501",,,,,"2,019",4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,"48,357",,,,,,"2,020",3
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,"7,890","1,933",,,,"1,439","2,018",3
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,"19,495",,,,,"2,019",10
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,60,"37,514",,,"3,287",2,"2,019",10
G. MORROSQUILLO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"852,633",,,,,,"2,019",3
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,"1,092",,,,,"2,020",6
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"28,010",,,,,,"2,019",8
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,20,68,,,,,"2,020",9
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"6,533",,,,,"2,018",3
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,,"37,469",,,,,"2,018",6
SANTA MARTA,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,"403,682",,,,"20,918","2,019",5
TURBO,C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,"8,068","3,063",,,,"22,109","2,020",6
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,"2,762",,,,,"2,019",2
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GENERAL,,"7,300",,,,,"2,018",1
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"28,259",,,,,"2,020",2
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"2,819","2,020",5
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,"4,889","2,020",9
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,,,,,,"2,940","2,020",3
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,"6,923","2,019",3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,,"80,177",,,,,"2,020",5
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,"2,156,998",,,,,,"2,019",1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GRANEL SOLIDO DIFER. DE CARBON,"5,511","10,691",,,"2,200",,"2,020",2
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,"73,100",,"2,019",9
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,"15,903","9,967",,,,,"2,019",1
TUMACO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"52,705",,,,,,"2,020",8
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GRANEL SOLIDO DIFER. DE CARBON,,"10,437",,,,"2,379","2,018",6
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,29,,,,"1,889","2,020",5
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,"4,096","6,806",,,,,"2,018",12
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,"76,258",,,,,"2,019",7
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,546,023",,,,,,"2,020",10
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"58,538",,,,,"2,018",2
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"125,438",,,,,"2,019",8
G. MORROSQUILLO,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"21,163",,,,,"2,019",3
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,"1,045","2,019",7
G. MORROSQUILLO,CENIT TRANSPORTE Y LOGÍSTICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,"902,009",,,,,,"2,019",7
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,"72,222",,,,,"2,020",1
BARRANQUILLA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,204,,,,,,"2,020",9
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,"17,420","15,589","4,053","27,393",,,"2,020",12
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,"7,642",,,,,"2,750","2,020",9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,"17,932","13,482",,,,,"2,018",5
